P1_RTT,P1_CWND,P1_inflight,P2_RTT,P2_CWND,P2_inflight
73.313,334.34,173444,78.033,176.66,120150
73.313,334.34,173444,78.033,176.66,121500
73.313,334.34,173444,78.033,176.66,122850
73.313,334.34,173444,78.033,176.66,124200
73.313,334.34,173444,78.033,176.66,125550
73.313,334.34,173444,78.033,176.66,126900
73.313,334.34,173444,78.033,176.66,128250
73.313,334.34,173444,78.033,176.66,129600
73.313,334.34,173444,78.033,176.66,130950
73.313,334.34,173444,78.033,176.66,132300
73.313,334.34,173444,78.033,176.66,133650
73.313,334.34,173444,78.033,176.66,135000
73.313,334.34,173444,78.033,176.66,136350
73.313,334.34,173444,78.033,176.66,137700
73.313,334.34,173444,78.033,176.66,139050
73.313,334.34,173444,78.033,176.66,140400
73.313,334.34,173444,78.033,176.66,141750
73.313,334.34,173444,78.033,176.66,143100
73.313,334.34,173444,78.033,176.66,144450
73.313,334.34,173444,78.033,176.66,145800
78.033,176.66,147150,73.313,334.34,173444
73.313,334.34,174794,78.033,176.66,147150
73.313,334.34,174794,78.033,176.66,148500
73.313,334.34,174794,78.033,176.66,149850
73.313,334.34,174794,78.033,176.66,151200
73.313,334.34,174794,78.033,176.66,152550
73.313,334.34,174794,78.033,176.66,153900
73.313,334.34,174794,78.033,176.66,155250
78.033,176.66,156600,73.313,334.34,174794
73.313,334.34,176144,78.033,176.66,156600
73.313,334.34,176144,78.033,176.66,157950
73.313,334.34,176144,78.033,176.66,159300
73.313,334.34,176144,78.033,176.66,160650
73.313,334.34,176144,78.033,176.66,162000
73.313,334.34,176144,78.033,176.66,163350
73.313,334.34,176144,78.033,176.66,164700
73.313,334.34,176144,78.033,176.66,166050
73.313,334.34,176144,78.033,176.66,167400
73.313,334.34,176144,78.033,176.66,168750
78.033,176.66,170100,73.313,334.34,176144
73.313,334.34,177494,78.033,176.66,170100
73.313,334.34,177494,78.033,176.66,171450
73.313,334.34,177494,78.033,176.66,172800
73.313,334.34,177494,78.033,176.66,174150
73.313,334.34,177494,78.033,176.66,175500
66.766,334.34,332100,78.015,245.28,243517
66.818,334.34,329400,78.015,245.28,243517
66.818,334.34,329400,78.015,248.2,240817
66.818,334.34,329400,77.851,251.12,238117
66.818,334.34,329400,77.674,254.04,235417
66.818,334.34,329400,77.5,256.96,232717
66.818,334.34,329400,77.358,259.88,230017
66.818,334.34,329400,77.167,262.8,227317
66.818,334.34,329400,76.994,265.72,224617
66.818,334.34,329400,76.853,268.64,221917
66.818,334.34,329400,76.704,271.56,219217
66.929,334.34,326700,76.704,271.56,219217
66.929,334.34,326700,76.704,271.56,219217
67.158,334.34,324000,76.704,271.56,219217
67.158,334.34,324000,76.861,274.48,216517
67.158,334.34,324000,76.717,277.4,213817
67.158,334.34,324000,76.582,280.32,211117
67.158,334.34,324000,76.435,283.24,208417
67.204,334.34,321300,76.435,283.24,208417
67.204,334.34,321300,76.34,286.16,205717
67.204,334.34,321300,76.195,289.08,203017
67.204,334.34,321300,76.264,292,200317
76.264,292,200317,67.443,334.34,318600
67.443,334.34,318600,76.264,292,200317
67.443,334.34,318600,76.264,292,200317
67.443,334.34,318600,76.264,294.92,197617
67.643,334.34,315900,76.264,294.92,197617
76.239,297.84,194917,67.643,334.34,315900
67.643,334.34,315900,76.143,300.76,192217
67.643,334.34,315900,76.07,303.68,189517
67.754,334.34,313200,76.07,303.68,189517
67.754,334.34,313200,76.088,306.6,186817
67.754,334.34,313200,76.109,309.52,184117
67.754,334.34,313200,76.012,312.44,181417
76.012,312.44,181417,67.918,334.34,310500
67.918,334.34,310500,75.962,315.36,178717
67.918,334.34,310500,75.937,318.28,176017
75.937,318.28,176017,68.06,334.34,307800
68.06,334.34,307800,76.103,321.2,173317
68.06,334.34,307800,76.151,324.12,170617
68.06,334.34,307800,76.151,324.12,170617
68.06,334.34,307800,76.181,327.04,167917
68.06,334.34,307800,76.465,329.96,165217
68.06,334.34,307800,76.475,329.96,162517
68.06,334.34,307800,76.475,329.96,162517
68.06,334.34,307800,76.699,329.96,159817
68.06,334.34,307800,76.627,329.96,157117
68.06,334.34,307800,76.627,329.96,157117
68.06,334.34,307800,76.622,329.96,154417
68.06,334.34,307800,76.622,329.96,154417
68.06,334.34,307800,77.043,329.96,151717
68.06,334.34,307800,76.828,329.96,149017
68.06,334.34,307800,76.828,329.96,149017
68.06,334.34,307800,77.551,329.96,146317
68.06,334.34,307800,77.429,329.96,143617
68.06,334.34,307800,77.429,329.96,143617
68.06,334.34,307800,77.434,329.96,140917
68.06,334.34,307800,77.425,329.96,138217
68.06,334.34,307800,77.425,329.96,138217
68.06,334.34,307800,77.401,329.96,135517
68.06,334.34,307800,77.733,329.96,132817
68.06,334.34,307800,77.733,329.96,132817
68.06,334.34,307800,77.544,329.96,130117
77.544,329.96,130117,68.06,334.34,307800
68.06,334.34,307800,77.544,329.96,130117
68.06,334.34,307800,77.544,329.96,130117
77.544,329.96,130117,68.06,334.34,307800
68.06,334.34,309150,77.544,329.96,130117
68.06,334.34,309150,77.544,329.96,131467
77.544,329.96,132817,68.06,334.34,309150
68.06,334.34,310500,77.544,329.96,132817
68.06,334.34,310500,77.544,329.96,134167
68.06,334.34,310500,77.544,329.96,135517
68.06,334.34,310500,77.544,329.96,136867
